INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 0 evaluation score: -0.12
INFO:root:Epoch 225/5000 | Policy Loss: -0.6378 | Value Loss: 0.0292
INFO:root:Epoch 226/5000 | Policy Loss: -2.1646 | Value Loss: 0.3761
INFO:root:Epoch 227/5000 | Policy Loss: 0.1670 | Value Loss: 0.0614
INFO:root:Epoch 228/5000 | Policy Loss: -0.1410 | Value Loss: 0.2007
INFO:root:Epoch 229/5000 | Policy Loss: -0.1434 | Value Loss: 0.0698
INFO:root:Epoch 230/5000 | Policy Loss: 0.0374 | Value Loss: 0.0201
INFO:root:Epoch 231/5000 | Policy Loss: 0.0591 | Value Loss: 0.0242
INFO:root:Epoch 232/5000 | Policy Loss: 0.1841 | Value Loss: 0.0261
INFO:root:Epoch 233/5000 | Policy Loss: -0.0763 | Value Loss: 0.0304
INFO:root:Epoch 234/5000 | Policy Loss: 0.1709 | Value Loss: 0.0160
INFO:root:Epoch 235/5000 | Policy Loss: -0.6448 | Value Loss: 0.1420
INFO:root:Epoch 236/5000 | Policy Loss: 0.4793 | Value Loss: 0.0333
INFO:root:Epoch 237/5000 | Policy Loss: 0.0142 | Value Loss: 0.0131
INFO:root:Epoch 238/5000 | Policy Loss: 0.2289 | Value Loss: 0.0218
INFO:root:Epoch 239/5000 | Policy Loss: 0.0906 | Value Loss: 0.0220
INFO:root:Epoch 240/5000 | Policy Loss: -0.4632 | Value Loss: 0.2544
INFO:root:Epoch 240 evaluation score: 0.33
INFO:root:Epoch 241/5000 | Policy Loss: 0.3120 | Value Loss: 0.0152
INFO:root:Epoch 242/5000 | Policy Loss: -0.2007 | Value Loss: 0.0240
INFO:root:Epoch 243/5000 | Policy Loss: -0.0431 | Value Loss: 0.0104
INFO:root:Epoch 244/5000 | Policy Loss: -0.3442 | Value Loss: 0.0382
INFO:root:Epoch 245/5000 | Policy Loss: 0.1455 | Value Loss: 0.0120
INFO:root:Epoch 246/5000 | Policy Loss: 0.3326 | Value Loss: 0.0142
INFO:root:Epoch 247/5000 | Policy Loss: -0.3778 | Value Loss: 0.0658
INFO:root:Epoch 248/5000 | Policy Loss: -0.0562 | Value Loss: 0.0186
INFO:root:Epoch 249/5000 | Policy Loss: -0.0268 | Value Loss: 0.0119
INFO:root:Epoch 250/5000 | Policy Loss: -0.2175 | Value Loss: 0.0238
INFO:root:Epoch 251/5000 | Policy Loss: 0.3420 | Value Loss: 0.0214
INFO:root:Epoch 252/5000 | Policy Loss: 0.0866 | Value Loss: 0.0370
INFO:root:Epoch 253/5000 | Policy Loss: -0.2547 | Value Loss: 0.0260
INFO:root:Epoch 254/5000 | Policy Loss: -0.3596 | Value Loss: 0.0475
INFO:root:Epoch 255/5000 | Policy Loss: -0.1014 | Value Loss: 0.0685
INFO:root:Epoch 256/5000 | Policy Loss: 0.3167 | Value Loss: 0.0172
INFO:root:Epoch 257/5000 | Policy Loss: 0.2862 | Value Loss: 0.0114
INFO:root:Epoch 258/5000 | Policy Loss: -0.4036 | Value Loss: 0.0267
INFO:root:Epoch 259/5000 | Policy Loss: -0.6673 | Value Loss: 0.0951
INFO:root:Epoch 260/5000 | Policy Loss: -0.4854 | Value Loss: 0.0235
INFO:root:Epoch 260 evaluation score: 0.41
INFO:root:Epoch 261/5000 | Policy Loss: -0.3679 | Value Loss: 0.8712
INFO:root:Epoch 262/5000 | Policy Loss: 0.0982 | Value Loss: 0.1078
INFO:root:Epoch 263/5000 | Policy Loss: 0.0420 | Value Loss: 0.0205
INFO:root:Epoch 264/5000 | Policy Loss: 0.5651 | Value Loss: 0.0438
INFO:root:Epoch 265/5000 | Policy Loss: -0.0393 | Value Loss: 0.0291
INFO:root:Epoch 266/5000 | Policy Loss: 0.0112 | Value Loss: 0.0152
INFO:root:Epoch 267/5000 | Policy Loss: 0.2320 | Value Loss: 0.0147
INFO:root:Epoch 268/5000 | Policy Loss: -0.5223 | Value Loss: 0.0800
INFO:root:Epoch 269/5000 | Policy Loss: 0.3776 | Value Loss: 0.0329
INFO:root:Epoch 270/5000 | Policy Loss: -0.5012 | Value Loss: 0.1939
INFO:root:Epoch 271/5000 | Policy Loss: -0.6909 | Value Loss: 0.1690
INFO:root:Epoch 272/5000 | Policy Loss: 0.0069 | Value Loss: 0.0316
INFO:root:Epoch 273/5000 | Policy Loss: -0.0017 | Value Loss: 0.0116
INFO:root:Epoch 274/5000 | Policy Loss: -0.2648 | Value Loss: 0.0448
INFO:root:Epoch 275/5000 | Policy Loss: 0.1257 | Value Loss: 0.0226
INFO:root:Epoch 276/5000 | Policy Loss: -0.7470 | Value Loss: 0.5257
INFO:root:Epoch 277/5000 | Policy Loss: -0.7667 | Value Loss: 0.1141
INFO:root:Epoch 278/5000 | Policy Loss: 0.3197 | Value Loss: 0.1043
INFO:root:Epoch 279/5000 | Policy Loss: -0.4366 | Value Loss: 0.0769
INFO:root:Epoch 280/5000 | Policy Loss: 0.0819 | Value Loss: 0.0179
INFO:root:Epoch 280 evaluation score: 0.90
INFO:root:Epoch 281/5000 | Policy Loss: 0.4189 | Value Loss: 0.0108
INFO:root:Epoch 282/5000 | Policy Loss: -1.3456 | Value Loss: 0.1185
INFO:root:Epoch 283/5000 | Policy Loss: 0.0655 | Value Loss: 0.0151
INFO:root:Epoch 284/5000 | Policy Loss: 0.2019 | Value Loss: 0.0186
INFO:root:Epoch 285/5000 | Policy Loss: 0.0178 | Value Loss: 0.0285
INFO:root:Epoch 286/5000 | Policy Loss: 0.3158 | Value Loss: 0.0178
INFO:root:Epoch 287/5000 | Policy Loss: -0.1608 | Value Loss: 0.0158
INFO:root:Epoch 288/5000 | Policy Loss: -0.4234 | Value Loss: 0.0557
INFO:root:Epoch 289/5000 | Policy Loss: -0.6919 | Value Loss: 0.1247
INFO:root:Epoch 290/5000 | Policy Loss: -0.1926 | Value Loss: 0.0604
INFO:root:Epoch 291/5000 | Policy Loss: -0.2024 | Value Loss: 0.1223
INFO:root:Epoch 292/5000 | Policy Loss: 0.2362 | Value Loss: 0.0174
INFO:root:Epoch 293/5000 | Policy Loss: 0.2073 | Value Loss: 0.0222
INFO:root:Epoch 294/5000 | Policy Loss: 0.3726 | Value Loss: 0.0156
INFO:root:Epoch 295/5000 | Policy Loss: -0.1968 | Value Loss: 0.0080
INFO:root:Epoch 296/5000 | Policy Loss: -0.2269 | Value Loss: 0.0266
INFO:root:Epoch 297/5000 | Policy Loss: 0.0124 | Value Loss: 0.0570
INFO:root:Epoch 298/5000 | Policy Loss: -0.3763 | Value Loss: 0.0676
INFO:root:Epoch 299/5000 | Policy Loss: -0.2842 | Value Loss: 0.0531
INFO:root:Epoch 300/5000 | Policy Loss: 0.2668 | Value Loss: 0.0140
INFO:root:Epoch 300 evaluation score: 0.38
INFO:root:Epoch 301/5000 | Policy Loss: -0.8812 | Value Loss: 0.0591
INFO:root:Epoch 302/5000 | Policy Loss: 0.0042 | Value Loss: 0.0137
INFO:root:Epoch 303/5000 | Policy Loss: -0.3784 | Value Loss: 0.0188
INFO:root:Epoch 304/5000 | Policy Loss: 0.1019 | Value Loss: 0.0573
INFO:root:Epoch 305/5000 | Policy Loss: -0.3218 | Value Loss: 0.1275
INFO:root:Epoch 306/5000 | Policy Loss: 0.1043 | Value Loss: 0.0091
INFO:root:Epoch 307/5000 | Policy Loss: 0.3049 | Value Loss: 0.0104
INFO:root:Epoch 308/5000 | Policy Loss: -0.2582 | Value Loss: 0.0248
INFO:root:Epoch 309/5000 | Policy Loss: 0.0829 | Value Loss: 0.0174
INFO:root:Epoch 310/5000 | Policy Loss: 0.0974 | Value Loss: 0.0204
